state,month,avg_temperature,avg_visibility
Perak,Feb,28.13328137178488,8.547155105222135
Perak,Mar,28.75438596491228,8.496842105263157
Perak,Apr,28.67709090909091,8.492363636363637
Perak,May,28.247118155619596,8.631123919308358
Perak,Jun,28.524264705882352,8.751470588235295
Perak,Jul,28.37429775280899,8.643258426966293
Perak,Aug,28.2671809256662,8.291725105189341
Perak,Sep,28.023756495916853,6.203414996288047
Perak,Oct,26.88537271448664,8.19690576652602
Perak,Nov,27.269035532994923,8.34010152284264
Perak,Dec,27.20757363253857,8.343618513323984
Pulau Pinang,Jan,28.480645161290322,8.553917050691243
Pulau Pinang,Feb,29.113554987212275,8.611253196930946
Pulau Pinang,Mar,29.711387736284003,8.192254495159059
Pulau Pinang,Apr,29.552103250478012,8.095602294455066
Pulau Pinang,May,28.522727272727273,8.063079777365491
Pulau Pinang,Jun,29.006454816286,8.045183714001986
Pulau Pinang,Jul,28.866236162361623,7.482011070110701
Pulau Pinang,Aug,28.472778036295953,7.2624476500698
Pulau Pinang,Sep,27.933012048192772,5.675180722891566
Pulau Pinang,Oct,27.322119815668202,7.768663594470046
Pulau Pinang,Nov,27.728918532634587,8.121486422105765
Pulau Pinang,Dec,28.1036866359447,8.431797235023042
Sabah,Jan,27.430962343096233,8.847140864714087
Sabah,Feb,27.549722050648548,8.970660901791229
Sabah,Mar,27.767260579064587,8.929844097995545
Sabah,Apr,28.75216387766878,8.957876514714368
Sabah,May,28.988904694167854,8.935988620199147
Sabah,Jun,28.103368845378636,8.818888568960553
Sabah,Jul,27.576559020044545,8.880011135857462
Sabah,Aug,27.97353023126219,8.858735023683478
Sabah,Sep,28.145007235890013,7.729088277858176
Sabah,Oct,27.428173719376392,8.873329621380845
Sabah,Nov,27.459545061906134,8.814569536423841
Sabah,Dec,27.01727500696573,8.732794650320423
Sarawak,Jan,27.040613026819923,8.739463601532567
Sarawak,Feb,26.997169544296632,8.701103877724314
Sarawak,Mar,27.461264016309887,8.827726809378186
Sarawak,Apr,27.930879237288135,8.77198093220339
Sarawak,May,28.255324675324676,8.843376623376624
Sarawak,Jun,27.866225165562913,8.857218543046358
Sarawak,Jul,27.684223918575064,8.864885496183206
Sarawak,Aug,28.00611464968153,8.305987261146496
Sarawak,Sep,28.13001797483523,6.125524266027561
Sarawak,Oct,26.92682304946456,8.767210606833249
Sarawak,Nov,27.329103885804916,8.707639439598202
Sarawak,Dec,26.674738720367067,8.527912312006118
Selangor,Jan,28.354430379746834,8.48945147679325
Selangor,Feb,28.757387247278384,8.522550544323483
Selangor,Mar,29.23206751054852,8.19690576652602
Selangor,Apr,28.865300146412885,8.16398243045388
Selangor,May,29.122332859174964,8.35846372688478
Selangor,Jun,28.537790697674417,8.411337209302326
Selangor,Jul,28.584269662921347,8.304775280898877
Selangor,Aug,28.492286115007012,7.722300140252455
Selangor,Sep,28.69811320754717,5.264150943396227
Selangor,Oct,27.165487977369164,7.121640735502122
Selangor,Nov,27.5764192139738,7.978165938864628
Selangor,Dec,27.516174402250353,8.074542897327708
Terengganu,Jan,27.459265890778873,8.796777081468218
Terengganu,Feb,27.673306772908365,8.958167330677291
Terengganu,Mar,28.408602150537636,8.924731182795698
Terengganu,Apr,29.216542750929367,8.880111524163569
Terengganu,May,29.258855585831064,8.862851952770209
Terengganu,Jun,28.75754716981132,8.774528301886793
Terengganu,Jul,28.548387096774192,8.656810035842295
Terengganu,Aug,28.617407071622846,7.350861287398005
Terengganu,Sep,28.117031398667937,6.555661274976213
Terengganu,Oct,27.846774193548388,8.811827956989248
Terengganu,Nov,27.565862708719852,8.736549165120593
Terengganu,Dec,27.297929792979296,8.526552655265526
